totim,time_step,stress_period,name,ZONE_1
213.0,0,7,TOTAL_IN,463443.3
213.0,0,7,TO_STORAGE,0.06896867
213.0,0,7,TO_CONSTANT_HEAD,0.0
213.0,0,7,TO_DRAINS,203025.72
213.0,0,7,TO_RECHARGE,0.0
213.0,0,7,TO_ZONE_0,0.0
213.0,0,7,TO_ZONE_1,0.0
213.0,0,7,TOTAL_OUT,203025.78
213.0,0,7,IN-OUT,260417.53
213.0,0,7,PERCENT_DISCREPANCY,78.148415
244.0,0,8,FROM_STORAGE,6275.7173
244.0,0,8,FROM_CONSTANT_HEAD,29693.05
244.0,0,8,FROM_DRAINS,0.0
244.0,0,8,FROM_RECHARGE,427474.53
244.0,0,8,FROM_ZONE_0,0.0
244.0,0,8,FROM_ZONE_1,0.0
244.0,0,8,TOTAL_IN,463443.3
244.0,0,8,TO_STORAGE,0.0683258
244.0,0,8,TO_CONSTANT_HEAD,0.0
244.0,0,8,TO_DRAINS,203025.69
244.0,0,8,TO_RECHARGE,0.0
244.0,0,8,TO_ZONE_0,0.0
244.0,0,8,TO_ZONE_1,0.0
244.0,0,8,TOTAL_OUT,203025.75
244.0,0,8,IN-OUT,260417.56
244.0,0,8,PERCENT_DISCREPANCY,78.14843
274.0,0,9,FROM_STORAGE,6275.683
274.0,0,9,FROM_CONSTANT_HEAD,29693.05
274.0,0,9,FROM_DRAINS,0.0
274.0,0,9,FROM_RECHARGE,427474.53
274.0,0,9,FROM_ZONE_0,0.0
274.0,0,9,FROM_ZONE_1,0.0
274.0,0,9,TOTAL_IN,463443.25
274.0,0,9,TO_STORAGE,0.06980521
274.0,0,9,TO_CONSTANT_HEAD,0.0
274.0,0,9,TO_DRAINS,203025.66
274.0,0,9,TO_RECHARGE,0.0
274.0,0,9,TO_ZONE_0,0.0
274.0,0,9,TO_ZONE_1,0.0
274.0,0,9,TOTAL_OUT,203025.72
274.0,0,9,IN-OUT,260417.53
274.0,0,9,PERCENT_DISCREPANCY,78.14843
305.0,0,10,FROM_STORAGE,6275.632
305.0,0,10,FROM_CONSTANT_HEAD,29693.05
305.0,0,10,FROM_DRAINS,0.0
